role,d_A,d_after_A,d_shift_A,E_relaxed_eV,Fvib_eV,Fvib_kcal_mol,G_eV,G_rel_kcal_mol,n_imag,barrier_kcal_mol
global_min,0.80,-0.27,-0.35,-105800.848084,9.030361,208.24,-105791.817722,203.45,1,
well,-0.80,0.28,+0.35,-105800.848018,8.924256,205.80,-105791.923762,201.00,0,2.78
saddle(left),-0.70,0.24,+0.72,-105800.821051,9.017964,207.96,-105791.803087,203.78,1,2.78
well,3.20,1.96,-0.02,-105800.697004,8.971479,206.89,-105791.725525,205.57,0,-4.53
saddle(right),3.10,2.51,+0.83,-105800.982154,9.060068,208.93,-105791.922086,201.04,1,-4.53
well,-3.20,-1.98,-0.00,-105800.689405,9.003334,207.62,-105791.686071,206.48,1,-4.68
saddle(left),-3.10,-2.48,-0.80,-105800.966999,9.078101,209.35,-105791.888899,201.81,1,-4.68
